id,comment,label
33,අක්කට කාරයෙක් හොදටම හුකල වගෙ ඔය හුත්තිගෙ අම්මා ට හිකුවෙත් කාරයෙද්ද කොහෙද වගෙ,1
34,අක්කත් ඉන්නව එහෙනම්. ,0
35,අක්කා ඔයානම් සුපර් ඔයා කියන්න ඕන දේ මූනටම කියනවා ගොඩක් හොදයි ඔයා ඔයාලට ජේසු පිහිටයි,0
36,අක්කා කුඩු ගහලා එක්කෝ මානසික ලෙඩක්,1
37,අක්කා ට ඇඳුමෙන් මල පහ වෙලා ඔව්වා ගණන් ගන්ඩ හොඳ නෑ හොඳට හැදුණු ඉහල පැලැන්ති එක උපාධිය ගත්ත අක්කා කෙනෙක් බව විලාසෙන් තේරෙනවා උගත් බුද්ධිමත් ශ්‍රී ලාංකිකයින් ඔව් අය තරම් හිතන්නෑ ඒ ගෑණිට පිස්සු කියලා හිතා ගන්න පුළුවන්,1
38,අක්කා ට කෝරුවාව හැදිලා වගේ කතා කරන්නේ,0
39,අක්කා දැන් ඔය කතාව නවත්තන්න ඔයා හරි වෙන්ඩ පුලුවන් එත් දැන් අපි ඉන්නෙ ලොකු වියසනයක මේවෙලාවෙ හැමෝම එකතුවෙලා වැඩ කරමු ලංකාව කියන්නෙ අමුතු රටක් ඕනම බොරුවක් කියල කෑගහපුවම චියර්එක දෙන්ඩ බලාගන ඉන්න මිනිස්සු කොටසක් ඉන්න රටක් මිනිස්සුන්ව දුප්පත්කමේ තියාගන බලධාරින් පමනක් සුරසැප විදින රටක් නමුත් මේවෙලාවේ බලධාරින්ට සැගවෙන්ඩ කියල යන්ඩ තැනක් රටක් නැති වුනා එමනිසා හැමෝම එකතුවෙලා මේ වෛරසයට විරුද්ධව කටයුතු කරනවා,0
40,අක්කෙ අපිට පෙන්නෙ නම් ඔයා අවුරුදු අසුව්වක් විතර පෙනුම. යකො ඉපදුන රටට ඔය වගෙ කැත විදියට බනින්න එපා. ශ්‍රි ලන්කාවෙ ඉපදෙන්න වාසනාව තිබ්බට එකෙ ජිවත් වෙන්න වාසනාව නැ ඔබලට. කොහොමත් ඔයාලා ලන්කාවට ගන්නෙත් නැ ඔයා ලමයි පහක් නෙවෙයි දහයක් හැදුවත් අපිට පාන්ද. ඔයාට live ඇවිත් කියන්න දෙයක් තියෙනවානම් කියලා යන්න අපෙ රටට බනින්න එපා. අනික ඔයා කිව්වා නෙද වයස 25 පෙනුම තියෙනවා කියලා ඔහෙ සැප හොදට ලැබෙනවා කියලා අපිටත් තෙරෙනවා. ඔය විදියට කැ ගහපු කට්ටියත් අන්තිමට ගියෙ අත්දෙක එකට එකතු කරලා වැදලා.,0
41,අක්‍කෙ ඔයා පරිස්සම් වෙන්න ඔයාගෙ කට හොද නෑ,0
42,අක්කෙ ඔයා මයිල් ගාලද බලන්න එක මයිල් ගහක් බාගෙට ඇමිනිලා අති එකයි කහන්නෙ.,1
43,අක්කෙ ලන්කාවට වඩා ලොකු මීයො ඉන්නවද,1
44,අක්කේ අපිත් උදව්වක් කරමුද,0
45,අක්කේ ඉත්තෑවෝ දුවනවනේ ?පොඩ්ඩක් ලෙඩේ බලාගන්න ඇවිත් ඔහේ බෙහෙත් නැත්නම් එන්න දෙන්නම් ගුලියක් අබරලා ඔය ගතිය ඇරලා යයි...එතකොට ඔයා අවුරුදු 25 කියලා ඉන්න 50 වෙච්ච එකෙක් වද බැන්දේ ? අර්ශශ් නම් බෙහෙත් අර ගන්න නැත්නම් හෙට හෙණ ගේමක් දෙන්න වෙයි...ඒක තමයි කියන්නෙ අවුරුදු 25 වගේ පේණ වදුරොත් එක්ක හු$&@ එපා කියන්නේ...මේ අක්කේ ගැට අන්නාසි තියනවා දෙන්නද ?නිට්ටාවට සුවයි...,1
46,අක්කේ ඉස්සා පුකෙද? ,1
47,අක්කේ උබ හුකාපන්,1
48,අක්කේ ඔයා,0
49,"අක්කේ ඔයාගේ ළමයින් පස් දෙනාගේ තාත්තා එක්කෙනාමද ? , ඔයා හරි අවලස්සනයි..... ඒත් අවුරුදු 18ක පෙනුමක් තියෙන්නෙ. ඔයා ගාල කඩා නොගත් එලදෙනක් වගේ ඔයාගේ කෑම කඩේ වැදගත් විදිහට හැසිරෙනවා මුලු ලංකාවම දැක්කා. ඔයා සිංහල පාවිච්චි කරන්න එපා. ඔයාට allergy වෙන්න පුලුවන් . ඔයා හැර සියලු ලෝක වාසීන්ට අපි නීරෝගී සුවය පතනවා.",1
50,අක්කේ ඔයාට බුදු සරණයි හොඳේ,0
51,අක්කේ ඔයාට වැටකොළු පතෝල එපාද,1
52,අක්කේ ඔයානේද අර බෝට්ටුවෙන් ගියේ,1
53,අක්කේ මේ ඔයාගේ කැතට අපිත් වමනෙ යන්න එනවා හරිද විදිහට කතා කරන්න එපා,1
54,අක්කේ වචන තිබුණාට එලියට දාන්න එපා ලංකාව වාගේ රටක් ඔයාට කොහෙවත් හොයන්න බර වෙඉ උතුම් මිනිස්සු තමයි ඔය පොලිස් මත්තුරු .දන් ඔයාගේ ඉතාලියට මොකද වෙලා තියෙන්නෙ කොහොමඩ රෙදි ඇදන් ඔයා අයෙත් එන්නෙ ..ඔයට මොකක් හරි අසනීප යක් නම් බෙහෙත් ටිකක් ගන්න අම්මා කෙනෙක් විදියට වැදගත් වෙන්න වචල ගනියක් වෙන්න එපා රටක හිටියට ඔයා හරිම මොඩඉනෙ කොහොමද ඔයා රස්සවක් කරන්නේ ඊඊඊඊයා හරි kathai,0
55,අක්කේ... අක්කේ මේ මට පොඩි උදව්වක් කරන්නකො........ උබට හුකපු හුකලා ලමයි පහක් හදපු උබේ පොන්න මිනිහව පොඩ්ඩක් ලංකාවට එවපන්කෝ........ මට හරී ආසයි උබ වගේ වටේ ගිය වේසියේකුට හුකන්නේ නැතුව ඒ දාර පොන්නයට පුකේ අරින්න....... හාද කියපන්කෝ .......,1
56,අගමැති තුමා ඇතුළු රණවිරු පිරිස මිනිසුන්ගේ ජීවිත බේරාගන්නට විටෙක හෙදියන් විටෙක වෛද්‍යවරුන් විටෙක රණවිරුවන් මෙන් මෙම කරගෙන කර්තව්‍යය මුළු ලෝකයම අගය කරනවා .ඔබ සියලු දෙනාටම මෙවැනි සාර්ථක වැඩපිළිවෙළ කරගෙන යාම තුලින් විශාල පිනක් මෙම ජීවිත කාලයේදී ලැබේවි .මම ඉන්න රටේ මිනිසුන් විශාල ගන්නන් මැරෙනවා .දියුණු රටවල් අසරණ වෙලා විසඳුමක් නැතිව ඉන්න වේලාවක ඔබගේ නිහඬ පාලනය අගනා බව සියලු දෙනාටම අවබෝධ වේවා .ඔබ තුමා ඇතුළු සියලුම දෙනාටම සියලු දෙවියන් ආරක්ෂා කරත්වා .,0
57,අගයමි,0
58,අගෙයි. මේ මොහෝතේ වගකීම ඉටු කිරීමක්. උස්සන්න අවසර දෙන්න. සමාජ මාධ්‍ය තුළ විතරක් නොවේ. මහා ජනමාධ්‍ය තුළ ඉඩක් ලැබුනොත් වටිනව.,0
59,අගෙයි. හොඳ ටීම් එකක් හමුවෙලා. වෛද්‍ය සේනාරත්න රෝහලෙත් වෙහෙසවන කෙනෙක්.,0
60,අගෙයි..,0
61,අංගොඩ මානසික රෝහලට යමුද අක්කේ .පිස්සු ගෑනි,1
62,අචිචිගේ රෙද්ද සංවෙිදි උබගේ සක්කිලි කම දැන් ටික ටික එලියට එනවා තෝ එන්න එපා මෙි ලංකාව තෝ ගහලා එලවනවා අයේ ඉතාලියට,1
63,අජිත රෝහන ගෙන් ගහන්නේ නැ බං.දිවා රැ නොබලා ලංකාව බෙිරා ගන්න වැඩ,0
64,අජිත් රොහන මහත්තයො ඔකිට සමාව දෙන්න එපා,1
65,අජිත් රෝහන මහතා අපට දෙවිකෙනෙක්,0
66,අජිත් රෝහෝහණ පුකේ ඇරිය නැති එකටද තො වේසි කැ ගහන්නේ පට්ට බඩු ගහන්නැ කිව්වා තොට ලෙඩ නේද පට්ට වේසි යකෝ අජිත් රෝහණ නියම පොරක් සුපිරි චරිතයක් තො වගේ වෙසකන් කරන්නැ වේසියේ,1
67,අජිත්ගෙ පරන කැල්ලක් ද කොහෙද නැන්නමි මෙවගෙ දගලන්නෙ නැ ,0
68,අඩම්බරයි රැට්ට....,0
69,අඩා තලනවා තොගේ ඇට..,1
70,අඩු කුලේ ඉන්න උන්⁣ෙග් ගතිගුණ ,1
71,අඩුම කාලෙකින් වැඩිම ලයික් ලැබුණු පෝස්ට් එකත් වෙයිද මන්දා ️,0
72,අඩුම ගානේ ඕකිට හරියට මතක නැතුව ඇති දරුවෝ පස් දෙනාගෙ තාත්තාලා වත් කවුද කියල..,1
73,අඩුම ගානේ මේකා O/L වලටවත් විද්‍යාව කියලා කියන විෂයය ඉගෙන ගෙන නැද් ද?,1
74,අඩුම තරමින් ජනතාවට මොනවාද දුන්නෙ.,0
75,අඩෙ අප්පාආආආආ,0
76,අඩෙ එල රැට්ටා..,0
77,අඩෙ තාත්තයි පුතයි නේ,0
78,අඩෙ නනා හරිම සරලයිනිබන් වෙලදාමට අපු උබලා මෙකෙ වැලලෙනිනැතුව අරබියටගියා වලලන්න බරිනමි වෙලලා හරිතියාගතිතා උබලාගේ කලයත්ඉතුරැයි සල්ලිත් ඉතුරැයි 72කටම හුකන්න ජුන්ඩත් ඉතුරැයි මෙක අපේ රට අපිට නියට ඉන්නබැරිනමි No way shut down නනා ,1
79,අඩෙ මාත් ඉන්නවා එලනෙ ඔයි,0
80,අඩෙ යප්පා️,0
81,අඩේ ,0
82,අඩේ ,0
83,අඩේ අතීතයයි වර්ථමානයයි අතර සංවාදයක්,0
84,අඩේ අතීතෙයි වර්තමානෙයි වගේ,0
85,අඩේ අර 83 රට ගිය දෙමල මනුස්සයගෙ පාලුවට ගිය ගේ හදල තියෙන හැඩ,0
86,"අඩේ උබ ජා ඇලනේ..අශෙනුත් මෙහෙනේ,,උබටයි අශේන්ටයි එකම වාසගමනේ,,අයියයි මල්ලී ද ?",0
87,අඩේ ඒක පට්ට,0
88,අඩේ ඕකේ වීඩියෝ එක දාපං ,0
89,අඩේ කවුද අඩේ මූ?,0
90,අඩේ ගොන් බැල්ලියේ ඔහේ කීයක් මරණ වෙනවද ඇස් දෙක ඉබ්බො ලෙවකාලද අඩෙ,1
91,අඩේ තාත්තයි පුතයි වගෙ ආදරෙයි දෙන්නටම ,0
92,අඩේ තාත්තායි පුතයි,0
93,අඩේ පිස්සුද අඩේ??ගම්පහට,0
94,අඩේ මේක ,0
95,"අඩේ මේක මරු , නිරෝධායනය කරන්න ඕනේ කීප දෙනෙකුත් එක්කම ටැග් කරලා පොස්ට් කරපු එක වටිනවා ",0
96,අඩේ යකූ..එකපාර අඳුරන්නත් බැරි උනා..,0
97,අඩේ විඩියෝ එක නැද්ද බන් ,0
98,අඩේ සමනලයා..අද උබලගෙ දවස.විශ් කරන්ඩ අමතක උනා බන් සොරි,0
99,අඩේ සංවාදය දාපන්..,0
100,අඩේ සුසා ඒක..,0
101,අඩේ.. ඒක පට්ට ,0
102,අඩේ.. තාත්තගෙ කැරැක්ටර් එකට අපේ ආදරණීය අංකල්ව ගමු ,0
103,අඩේහ්,0
104,අඩො ඒක..,0
105,අඩො කසිප්පු ගහල ද,0
106,අඩො දැන් හෙන දියුණුතාක්ෂණයක් නෙ පාවිච්චි කරන්නෙ අනාගතේ ඉදලා අතිතෙ රැට්ටට කොල් එකක් අරන්,0
107,අඩො මරු ,0
108,අඩො මුණුබුරා සමග සුහද කතා බහක,0
109,අඩෝ,0
110,අඩෝ ,0
111,අඩෝ Gemini Man ෆිල්ම් එක ලංකාවේ ගැහුවා වගේ,0
112,"අඩෝ අඩෝ උබලා තහනම් කරා නේද ? මං හිතුවේ උබලාට රාසායන ව්ද්‍යාව උපාධි විතරයි තියෙන්නේ කියලා, බලන් ගියපුවාම පාංශු පිලිබද උපාදිත් තියනවානේ , ඔයාලා දන්නවද පනපිටින් වලලපුවම ඔක්කෝම විශබිජ nasi යනවලු ටෙස්ට් කරන්න පටන්ගන්න හදන්නේ පලවෙනි කෙනා ජාමානෙක් කරගන්න ඕනී වෙලාද",1
113,අඩෝ අනාගතයෙන් call එකක් ආපු පලවෙනි එකා වුනා එහෙනම් congratulations,0
114,අඩෝ උබ එල බං සුවහසක් යූ ටුයුබ් පිංපියන්ට වැඩිය ආදරෙයි,0
115,අඩෝ උබලා දෙන්න සෙට් උනාද,0
116,අඩෝ උඹ වෛද්‍යවරයෙක් නෙවෙයිනෙ කට වහගෙන පුක දෙන ද පාඩු හිටපං හරි තම්බියා,1
117,අඩෝ ඒක,0
118,අඩෝ ඒක පට්ට බං අයියා.. මං හිතන්නෙ මාමට පොරගෙ තරුණ කාලේ එක්ක කතා කරා වගේ දැනෙන්ඩ ඇති.. බිකෝස් දෙන්නම මොකේ හිටියත් ආතල්ම එකේ ඉන්න බඩු දෙකක් ,0
119,අඩෝ ඒක පට්ට මචෝ...️,0
120,අඩෝ ඒක පට්ට යකෝ️,0
121,අඩෝ ඒක සුපිරි තාත්තයි පුතයි වගේ ,0
122,අඩෝ ඒක......,0
123,අඩෝ තාත්තයි පුතයි විඩීයෝ කෝල් අරං දැං බොරුව දානව. දැං තාත්තා විශ්‍රාම යන නිසා ආයි රැට්ටම තාත්තා වෙන්න ඕනෙ නෑ මාමා එයි හෙල්ප් එකට,0
124,අඩෝ තාත්තයි පුතයි වීඩියෝ කෝල් එකක් ,0
125,අඩෝ දිස් වන් ,0
126,අඩෝ බැල්ලි තෝ ලංකාවට එන්න ඕනි නෑ තෝ ඔහෙට වෙලා මුලු ඉතාලියටම පුක දීපන් උබේ මිනිහා පොන්නයෙක්ද කොහේදා තෝ ලංකාවට අගවුරව කරන්න එපා පර බැල්ලී කනව තොගේ ංත්ත,1
127,අඩෝ මැකෝව තාත්තට දාලා video එකක් කරන්නම ඕනේ.,0
128,අඩෝ රැට්ටාගේ පියා හිතාදර මහත්තයා ද බන්...️️️️️,0
129,අඩෝ රෑට්ටා,0
130,අඩෝ විඩියෝ එක රෙකාඩ් කරෙ නැද්ද. දාපං කෝ ,0
131,අඩෝ වීඩීයෝ එකක් ඔනේ,0
132,අඩෝ වෙසි,1
133,අඩෝ සිරාවට ගත්තද උබ,0
134,"අඩෝ සුපිරි බන් ජයවෙවා, බුදුසරණයි",0
135,අඩෝ. එක්ක අඩියක් ගහන්න තිබ්බනම්. ️ ආතල් ලෝකයක් වෙයි.,0
136,අඩෝව් ,0
137,අඩ්ඩේ ️,0
138,අඩ්‍යපනය අඩු කෙනෙක් ... ,0
139,අතල් එකට ගහාලා කරුමෙට හෙදිච්ච එකෙක් ,1
140,අති ගරු ඔබ තුමා නොවන්නට අද වනවිට කොරොනා වසන්ගතයෙන් මුලු ලංකාවම වෙලා ගෙන අවසන්,0
141,"අති ගරු ජනාධිපතිතුමනිවිදේශ ගතව සිටින අය ගෙන්වා ගැනීමේදි මාස කිහිපයකටඅවුරුදු කිහිපයකට(1,2,3,4)රැකියාවල නිරත වීමට විදෙස්ගත වූ අයට මුලින්ම ප්‍රමුඛතාවය ලබා දෙන්නයි ඉල්ලා සිටිමිඅවුරුදු 10,20,30 විදේශ රටක පදිංචිව සිටින අයට දැන් ඉන්න සිතෙන රටක් යයි අපේ රට මතක්ව ඇත.කමක් නැහැඒත් ඔවුන්ට වඩා වැදගත් අපේ ගෙවල්වල අගහිඟකම් නිසා උපයාගෙන ඒමට ගිය අපේ දුප්පත් නෑදෑයෝයි",0
142,අති විශිෂ්ට කතාවක් වෛද්‍යතුමියනි අපේ මාතෘභූමිය වෙනුවෙන් අප ඔබතුමන්ලා සමඟයි. තෙරුවන් සරණින් මගෙ රට රැක දේවා.,0
143,අති ශේෂ්ඨයී මැඩ්ම්...,0
144,"අතිගරැ ජනපති තුමණී ඔබතුමන් ගෙනයන වැඩපිලිවල අතී සාර්තකයි ඒවගේම විදේශ ගතව සිටින අය නැවත මවිරට බලා පැමින පසු දවස් විසි එකක්වත් නිරෝධානය කරන්න.ඒවගේම දවස් 21 ඉවරවී නිවෙස් බලා ගියාන් පසු නැවත දවස් 14ක් ස්ව්‍යං නිරාදානයද අනිවර්‍යය කරන්න මොකද මෙිකේ භයානකත්වය අපි මෙිරටවල්වල දකින නිසා දවස් 21එකට පසුත් වෛරසයේ ලක්ෂන මතුවූ අය මෙි රටවලින් හමු වෙනවා පිටරට ඉන්න ලක්ෂ 10-15 වගේ අපි ඉන්න අය මවිරටට ගේවාගෙන කෝටි දෙකක් ඉන්න අය අමාරැවෙි දමන්න එපා මොකද ඒ අය නීරෝදාන රෙගුලාසිවලට එකගනමි පමන් ගේවාගන්න.ඒවගේම අතිගරැ විදෙස් ගතවෙලා ඉන්න අයගේ පවිල් ගැනත් සොයාබලන්න මොකද අපි එවන සල්ලී ඒඅයට ගන්න විදිහක් නෑ අදිරිනීතිය නිසා අවශ්‍ය කරන ආහාර ද්‍රව්‍යය ගන්න විදිහක් නැ.ගොඩාක් අසරන වෙිනවා අපේ පවිල් පොඩි අය සමග ඒඅයට ටවිමකට යන්න බෑ.ඔබතුමන් මෙි සමිබන්ධයෙන් කාරැණික අවධානය යොමු කරනු ඇතයි මා සිතමී.ඔබතුමන් හටත් ත්‍රිවධ හමුධාවන්ටත් රජ්‍ය නිළධාරින්ටත් වෛද්‍ය හෙද කාර්‍යය මන්ඩලවලටත් යෝධ බල යෝධ ශක්තිය ලැබෙිවා සමිමා සමිබුදු සරණයි..........!!!!!!!!!!""",0
145,"අතිගරැ ජනාධිපති තුමණි. මුදල් ආධාර බෙදාහැරීමේ කර්යය රට පුරාම ඉතාම සාර්ථකව සිදුකෙරැණා ..ඒ පිළිබඳව රටේ සියලු ජනතාවගේ ගෞරවනීය ස්තූතිය පළමුවෙන්ම පිරිනමමි.. අත්‍යාවශ්‍ය ආහාර ද්‍රව්‍ය හාඑළවළු බෙදාහැරීමේ යාන්ත්‍රනය විදිමත්ව සිදුනොවන බව ඔබතුමාගේ අවධානයට යොමු කරමි.. මේ කොරෝනා වසන්ගතය මැඩපැවැත්වීමට ඔබතුමා ඇතුලු රජය ගෙනයන වැඩපිළිවෙළට මේ හේතුව බාධාවක් වීමට ඉඩතිබේ.. එසේම එය ගොවිජනතාව මෙන්ම පාරිභෝගික ජනතාවත් දැඩි දුෂ්කරතාවකට පත්වීමට හේතු වී තිබේ.. අතිගරැ ජනාධිපති තුමණි .. මේ සදහා විසදුමක් ලෙස, කොරෝනා මර්දන ජනාධිපති කාර්යසාධක බලකායේ එක් අංශයක් සහ ආයතනයක් මේ සදහා ස්ථාපිත කරන ලෙස යොජනා කරමි..එමගින් ගොවියන් සහ ඔවුන් සතු ගොවි නිෂ්පාදනයන්(එලවලු තොග ප්‍රමාණයන්/තිබෙන ප්‍රදේශයන්)පිළිබඳව තොරතුරු සහ ගැණුම්කරුවන්ට අවශ්‍ය තොග සහ අවශ්‍ය ප්‍රදේශ පිළිබඳව ලියාපදිංචි කිරිම සිදුකල යුතු අතර, ක්ෂණිකව තොරතුරු හුවමාරැවන system එකක් update කල යුතුයි .. එමගින් අතරමැදියන් සහ අනපේක්ෂිත මිල පහතවැටීම් සහ මිල ඉහලයාම් තුලින් ගොවියන් මෙන්ම පාරිබෝගිකයන් දෙපිරිසම ආරක්ෂා කල හැකියි..එය වර්ථමාන කොරෝනා මර්දන වැඩපිළිවෙළට පමණක් නොව",0
146,"අතිගරු , කොරෝනාවෙන් නැසුන සියලු දෙනා පිරිමින් ය , අපි දන්නා තරමින් දුම් පානය පෙනහලු වලටත් , පිලිකා සෑදීමටත් මූලික හේතුවක් වෙන බව නොරහසකි, අපි ට පුලුවනිනම් මේ යන ගමනේ මෙලෙසම ගොසින් දුම්වැටි , මත්පැන් , මත්ද්‍රව්‍ය තහනම් කරමින් රට මතින් තොර රටක් කරන්න එය ජාති ජාතිත් ඔබතුමන්ට පින් සිදුවෙයි , එය කල හැක්කේද ඔබතුමන්ට පමනක්මයි , සුන්දර මිනිසුන්, සුන්දර හදවත් වල ආයු කාලය වැඩිවේවි ",0
147,"අතිගරු ඔබ තුමාගේ දූරදර්ශි නායකත්වයෙන් කටයුතු කිරීම තුලින් අපෙ රටේ කොරෝනා වසංගත රෝගය සම්පුර්ණයෙන් තුරන් කිරීමටත්, අපේ රට සුඛිත මුදිත රටක් බවට පත් කිරීමටත් ධෛර්ය ශක්තිය හා හැකියාව ලැබේවා ..! ඒ සදහා ඔබ තුමාට දළදා සමීදුගේ පිහිට ආරක්ෂාව නිරතුරුවම ලැබේවා ..!",0
148,අතිගරු ඔබතුමගෙ ඉදිරි ගමනට ත්‍රිවිධ රත්නයෙ පිහිට අරක්ශාව ලබෙවා,0
149,අතිගරු ඔබතුමා මෙි යනගමන අතිසාර්තකයි අවුරුදු පහම මෙහෙම ගියොත් ඉතා කෙටි කාලෙ කින් අපේ රට සියලු අර්බුදවලින්⁣ බෙිරාගැනිමට හැකිවනු ඇත පාර්ලිමේන්තුවක් අවශ්‍යම නැත තෙරුවන්සරණින් ඔබට ශක්තිය ධර්ය ලැබේවා,0
150,"අතිගරු ඔබතුමාගේ ප්‍රායොගිකන්‍යායාත්මක,අව0ක නායකත්වය සදහා අපගේ ප්‍රශ0සනාත්මක ස්තුතිය පලකරන අතර පු0චි අදහසක් මේ සමග ඉදිරිපත් කරමි. පසුගිය මාර්තු මස මුල සිට රටෙ සමස්ත ජනතාව රකින්නට කරන මහ ක්‍රියාන්විතය සාර්ථක කරගැනිම වෙනුවෙන් ඉදිරිපත් වු 1 කන්ඩායම මුලු මහත් සෞඛ්‍යය අ0ශ හා යුද හමුදා වෙනුවෙන් ද ජන මාධ්‍යවේදීන් වෙනුවෙන් ද යම් ආකාරයක සහන-තෑගි මල්ලක් (කීල්ස් හෝ ආර්පිකෝ හෝ ෆුඩ් සිටි වෙතින්) ඔවුනගෙ නිවෙස් වලටම ලබාදීමට ක්‍රමයක් ගැන සිතන්න අපට පුලුවන් වෙයිද ? මන්ද මේ රාජකාරි කරන බොහෝ දෙනෙකු ඔවුන්ගෙ පවුල්වල ගුහමූලිකයන් වන නිසා ත් මේ වනතුරු ඔවුන් ගේ අවශ්‍යතාවයන් (කෑම ගන්න,-මහජනතව සේ ගෙවල්වල ට බඩුගන්න)කිසිමවිටෙක උද්ගෝෂන කල නෑති නිසාවෙනි.",0
151,අතිගරු ඔබතුමාට ගොඩාක් පිං ඔබතුමා ජනතා සුභ සිද්දිය වෙනුවෙන් ගන්න තීරණ තීන්දු සියල්ලම සර්වප්‍රකාරයෙන්ම සාර්ථක වේවා ,0
152,අතිගරු ඔබතුමාට සහ වටේ ඉන්න යෝධ ශක්තියක් සමග මේ වසංගතයෙන් බේරෙන්න පුළුවන්. ඒ සදහා අපගේ සහයෝගය නොවඩුව ලබා දෙනවා,0
153,අතිගරු ජනපතිතුමනි රෝග පාලනය සදහා ගත් සියලු ක්‍රියාමාර්ගය ඉතාම නිවැරදියි. නිෂ්පාදන අංශයේ කර්මාන්ත ආරම්භ කිරීම සදහා සලකා බැලුවොත් හොඳයි.,0
154,අතිගරු ජනාධිපතිතුමනි මේ ගෑනිට වහාම දඬුවම් දෙන්න,1
155,"අතිගරු ජනාධිපතිතුමනි, ඔබට ජයවේවා. අනිකුත් සියලු සෞඛ්‍ය සේවා වෘත්තීය අයටත් හමුදා හා පොලිස් සේවයේ නියුතු සියලු දෙනාටම හා ඔබටත් අල්ලාහ්ගේ ආශිර්වාද ලැබේවා කියා ප්‍රාර්ථනා කරනවා.",0
156,අතිගරු ජනාධිපතිතුමනි.....පංචායුධ ක්‍රමවේදය විශිෂ්ඨයි......අග්‍රහාර රක්ෂණයෙන් සෞඛ්‍ය සේවයට දෙන රක්ෂණය මිඩ්වයිෆ්ලට දෙන්නෑ කියලයි ප්‍රවෘත්ති නිවේදනය කියෙව්වම මට තේරුනේ.....ඒ පිළිබදව ඔබතුමාගේ අවදානය යොමුවේවා.............,0
157,අතිගරු ශ්‍රී ලංකාවේ මෙවැනි පරිපාලනයක් අප දකින පළමු අවස්ථාව මෙයයි. ඔබේ විද්‍යාත්මක පියවර දැකීම මට සතුටක්. ඔබතුමාට ගොඩාක් පින් මේ අවස්ථාවේ රටේ අනාගතය වෙනුවෙන් කරනා සේවයට.... !,0
158,අතිවිශිශඨ්‍යි,0
159,අතිවිශිශ්ටයි කියන්න තියෙනදේ සුද්ද සින්හලෙන්ම කියල දුන්නා.බොහොම පින්,0
